policy,average_waiting_time,throughput,max_congestion_length,clearance_time,fairness_gap,conflict_count,vehicles_cleared,disorder_peak,arrival_left,arrival_right
Free Flow,98.49,1008.0,155.3,192.75,0.012,5,168,0.51,10,10
Adaptive,55.1,1020.0,114.28,192.75,0.024,0,170,0.384,10,10
Free Flow,143.27,924.0,253.34,192.75,0.026,5,154,0.443,10,14
Adaptive,67.47,1230.0,152.94,192.75,0.073,0,205,0.334,10,14
Free Flow,196.67,780.0,466.1,192.75,0.031,8,130,0.523,10,18
Adaptive,79.79,1272.0,230.16,192.75,0.236,0,212,0.432,10,18
Free Flow,204.42,726.0,625.56,192.75,0.041,5,121,0.421,10,22
Adaptive,101.04,1362.0,308.38,192.75,0.242,0,227,0.363,10,22
Free Flow,191.28,858.0,833.77,192.75,0.007,6,143,0.413,10,26
Adaptive,116.27,1332.0,573.29,192.75,0.18,0,222,0.405,10,26
Free Flow,136.89,936.0,247.41,192.75,0.013,5,156,0.499,14,10
Adaptive,80.9,1182.0,162.9,192.75,0.066,3,197,0.507,14,10
Free Flow,118.6,1074.0,284.19,192.75,0.028,5,179,0.455,14,14
Adaptive,66.24,1314.0,203.34,192.75,0.059,0,219,0.422,14,14
Free Flow,181.31,834.0,550.4,192.75,0.022,9,139,0.515,14,18
Adaptive,79.98,1350.0,357.59,192.75,0.031,0,225,0.376,14,18
Free Flow,199.65,696.0,685.7,192.75,0.034,5,116,0.419,14,22
Adaptive,86.67,1500.0,271.27,192.75,0.232,0,250,0.453,14,22
Free Flow,203.23,792.0,830.34,192.75,0.015,8,132,0.498,14,26
Adaptive,116.83,1392.0,641.9,192.75,0.06,0,232,0.453,14,26
Free Flow,140.66,1050.0,416.41,192.75,0.017,5,175,0.461,18,10
Adaptive,112.74,1134.0,399.12,192.75,0.026,0,189,0.387,18,10
Free Flow,188.03,870.0,495.72,192.75,0.007,10,145,0.533,18,14
Adaptive,110.94,1296.0,329.37,192.75,0.056,0,216,0.39,18,14
Free Flow,158.05,1020.0,459.69,192.75,0.024,5,170,0.448,18,18
Adaptive,107.96,1368.0,327.3,192.75,0.053,0,228,0.487,18,18
Free Flow,202.32,870.0,631.41,192.75,0.021,6,145,0.469,18,22
Adaptive,109.01,1464.0,329.84,192.75,0.18,0,244,0.374,18,22
Free Flow,179.93,1062.0,683.08,192.75,0.017,4,177,0.458,18,26
Adaptive,150.9,1302.0,498.44,192.75,0.253,2,217,0.458,18,26
Free Flow,138.98,1110.0,473.0,192.75,0.059,6,185,0.509,22,10
Adaptive,75.63,1422.0,292.68,192.75,0.19,0,237,0.361,22,10
Free Flow,172.46,1020.0,559.92,192.75,0.012,8,170,0.654,22,14
Adaptive,104.01,1362.0,403.66,192.75,0.066,0,227,0.532,22,14
Free Flow,183.75,960.0,582.38,192.75,0.0,10,160,0.452,22,18
Adaptive,136.07,1164.0,476.84,192.75,0.103,0,194,0.505,22,18
Free Flow,231.3,312.0,869.68,192.75,0.0,6,52,0.592,22,22
Adaptive,135.97,1350.0,482.5,192.75,0.031,0,225,0.373,22,22
Free Flow,200.94,1062.0,743.47,192.75,0.006,3,177,0.443,22,26
Adaptive,151.19,1572.0,636.53,192.75,0.061,2,262,0.43,22,26
Free Flow,206.3,714.0,859.96,192.75,0.008,7,119,0.542,26,10
Adaptive,99.29,1338.0,532.46,192.75,0.211,0,223,0.476,26,10
Free Flow,198.94,888.0,725.52,192.75,0.0,10,148,0.482,26,14
Adaptive,118.17,1380.0,516.4,192.75,0.052,0,230,0.39,26,14
Free Flow,207.09,828.0,705.89,192.75,0.029,7,138,0.503,26,18
Adaptive,138.84,1206.0,499.18,192.75,0.194,0,201,0.39,26,18
Free Flow,170.44,1176.0,547.84,192.75,0.01,5,196,0.44,26,22
Adaptive,163.44,1128.0,648.21,192.75,0.16,1,188,0.418,26,22
Free Flow,198.0,1026.0,804.91,192.75,0.006,10,171,0.445,26,26
Adaptive,180.16,1200.0,693.06,192.75,0.16,0,200,0.468,26,26
