policy,average_waiting_time,throughput,max_congestion_length,clearance_time,fairness_gap,conflict_count,vehicles_cleared,disorder_peak,closure_duration_s
Free Flow,158.05,1020.0,459.69,192.75,0.024,5,170,0.448,60
Adaptive,107.96,1368.0,327.3,192.75,0.053,0,228,0.487,60
Free Flow,184.59,738.0,567.63,177.75,0.024,9,123,0.593,75
Adaptive,122.69,1248.0,390.34,177.75,0.029,0,208,0.433,75
Free Flow,186.35,768.0,558.29,162.75,0.016,7,128,0.463,90
Adaptive,141.93,1122.0,468.28,162.75,0.005,0,187,0.461,90
Free Flow,195.38,642.0,612.21,147.75,0.009,4,107,0.468,105
Adaptive,140.45,1170.0,441.46,147.75,0.036,0,195,0.376,105
Free Flow,199.64,630.74,628.84,135.25,0.0,5,106,0.458,120
Adaptive,160.47,975.87,486.87,135.25,0.049,0,164,0.444,120
Free Flow,228.32,459.21,725.77,120.25,0.037,8,81,0.536,150
Adaptive,200.29,805.04,563.94,120.25,0.127,0,142,0.444,150
