time_since_open,time_to_open,time_to_close,barrier_closed,queue_left,queue_right,queue_count_left,queue_count_right,mean_speed,disorder_index,bike_infiltration,wrong_side_queue_share,dilemma_zone_pressure,mean_reaction_time_near_gate,closure_frustration_index,idling_vehicle_share,idling_fuel_rate_lph,idling_co2_rate_kgph,crossing_occupancy,occupancy_risk,pressure_imbalance,aggressive_share_near_gate,conflict_count,vehicles_spawned,vehicles_cleared,arrival_left,arrival_right,scenario_light,scenario_peak,scenario_chaotic,scenario_peak_left_skew,scenario_peak_right_skew,scenario_chaotic_aggressive,scenario_chaotic_long_gate,action_free_release,action_alternating_4s,action_alternating_6s,action_settle_then_alt,action_priority_left,action_priority_right,average_waiting_time,throughput,max_congestion_length,occupancy_risk_horizon,fairness_gap_horizon,wrong_side_queue_share_horizon,idling_fuel_liters_horizon,mean_clearance_time_horizon,worst_clearance_time_horizon
5.0,0.0,85.0,0.0,0.0,102.03375,0.0,3.0,7.473333333333334,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,0.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.133333333333334,760.0,117.53999999999999,1.0,0.2631578947368421,0.525,0.03601999999999986,90.0,90.0
5.0,0.0,85.0,0.0,0.0,102.03375,0.0,3.0,7.473333333333334,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,0.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.288888888888889,880.0,117.53999999999999,0.5622035989417213,0.18181818181818182,0.42000000000000004,0.05751499999999971,90.0,90.0
5.0,0.0,85.0,0.0,0.0,102.03375,0.0,3.0,7.473333333333334,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,0.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.813888888888889,1000.0,117.53999999999999,0.5815843613904136,0.04,0.5159090909090909,0.036364999999999884,90.0,90.0
5.0,0.0,85.0,0.0,0.0,102.03375,0.0,3.0,7.473333333333334,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,0.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.430555555555555,640.0,117.53999999999999,0.39482137296976394,0.0,0.2761363636363636,0.14872999999999875,90.0,90.0
5.0,0.0,85.0,0.0,0.0,102.03375,0.0,3.0,7.473333333333334,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,0.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.288888888888889,880.0,117.53999999999999,0.5621549650689631,0.18181818181818182,0.21000000000000002,0.05751499999999971,90.0,90.0
5.0,0.0,85.0,0.0,0.0,102.03375,0.0,3.0,7.473333333333334,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,0.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.6194444444444445,600.0,117.53999999999999,0.39513906282041544,0.06666666666666667,0.3675324675324675,0.1547949999999986,90.0,90.0
15.0,0.0,75.0,0.0,96.7225,99.39625,3.0,3.0,7.143125000000003,0.0,0.0,0.0,0.0,0.0,0.135,0.0,0.0,0.0,1.0,0.18,-0.013633321648236075,0.0,0.0,8.0,0.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.602777777777778,560.0,117.53999999999999,1.0,0.0,0.3779220779220779,0.20752999999999713,90.0,90.0
15.0,0.0,75.0,0.0,96.7225,99.39625,3.0,3.0,7.143125000000003,0.0,0.0,0.0,0.0,0.0,0.135,0.0,0.0,0.0,1.0,0.18,-0.013633321648236075,0.0,0.0,8.0,0.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.041666666666667,1000.0,117.53999999999999,0.5622035989417213,0.2,0.42000000000000004,0.0954349999999994,90.0,90.0
15.0,0.0,75.0,0.0,96.7225,99.39625,3.0,3.0,7.143125000000003,0.0,0.0,0.0,0.0,0.0,0.135,0.0,0.0,0.0,1.0,0.18,-0.013633321648236075,0.0,0.0,8.0,0.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0777777777777775,1160.0,117.53999999999999,0.5815867610845242,0.10344827586206896,0.5431818181818182,0.0513699999999997,90.0,90.0
15.0,0.0,75.0,0.0,96.7225,99.39625,3.0,3.0,7.143125000000003,0.0,0.0,0.0,0.0,0.0,0.135,0.0,0.0,0.0,1.0,0.18,-0.013633321648236075,0.0,0.0,8.0,0.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.7444444444444445,919.9999999999999,117.53999999999999,0.5496101602996032,0.21739130434782608,0.3415584415584415,0.12101999999999925,90.0,90.0
15.0,0.0,75.0,0.0,96.7225,99.39625,3.0,3.0,7.143125000000003,0.0,0.0,0.0,0.0,0.0,0.135,0.0,0.0,0.0,1.0,0.18,-0.013633321648236075,0.0,0.0,8.0,0.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.041666666666667,1000.0,117.53999999999999,0.5621549650689631,0.2,0.21000000000000002,0.0954349999999994,90.0,90.0
15.0,0.0,75.0,0.0,96.7225,99.39625,3.0,3.0,7.143125000000003,0.0,0.0,0.0,0.0,0.0,0.135,0.0,0.0,0.0,1.0,0.18,-0.013633321648236075,0.0,0.0,8.0,0.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.636111111111111,880.0,117.53999999999999,0.39907207903158476,0.09090909090909091,0.34675324675324676,0.12309999999999925,90.0,90.0
30.0,0.0,60.0,0.0,99.45375,49.845000000000006,7.0,2.0,6.808461538461534,0.03633812865207457,0.0,0.0,0.0,0.9451062505842748,0.2025,0.0,0.0,0.0,1.0,0.18726762573041492,0.3322784015271393,0.0,0.0,16.0,3.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.205555555555556,400.0,108.51625,0.44161994291218326,0.0,0.4409090909090909,0.3684800000000131,90.0,90.0
30.0,0.0,60.0,0.0,99.45375,49.845000000000006,7.0,2.0,6.808461538461534,0.03633812865207457,0.0,0.0,0.0,0.9451062505842748,0.2025,0.0,0.0,0.0,1.0,0.18726762573041492,0.3322784015271393,0.0,0.0,16.0,3.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.2972222222222225,880.0,108.51625,0.5622035989417213,0.2727272727272727,0.42000000000000004,0.17089999999999828,90.0,90.0
30.0,0.0,60.0,0.0,99.45375,49.845000000000006,7.0,2.0,6.808461538461534,0.03633812865207457,0.0,0.0,0.0,0.9451062505842748,0.2025,0.0,0.0,0.0,1.0,0.18726762573041492,0.3322784015271393,0.0,0.0,16.0,3.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.897222222222222,1080.0,108.51625,0.5801372611645251,0.18518518518518517,0.41666666666666663,0.10393999999999921,90.0,90.0
30.0,0.0,60.0,0.0,99.45375,49.845000000000006,7.0,2.0,6.808461538461534,0.03633812865207457,0.0,0.0,0.0,0.9451062505842748,0.2025,0.0,0.0,0.0,1.0,0.18726762573041492,0.3322784015271393,0.0,0.0,16.0,3.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.186111111111111,880.0,108.51625,0.5729149919763458,0.2727272727272727,0.46136363636363636,0.16727499999999831,90.0,90.0
30.0,0.0,60.0,0.0,99.45375,49.845000000000006,7.0,2.0,6.808461538461534,0.03633812865207457,0.0,0.0,0.0,0.9451062505842748,0.2025,0.0,0.0,0.0,1.0,0.18726762573041492,0.3322784015271393,0.0,0.0,16.0,3.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.2972222222222225,880.0,108.51625,0.5621549650689631,0.2727272727272727,0.3675324675324675,0.17089999999999828,90.0,90.0
30.0,0.0,60.0,0.0,99.45375,49.845000000000006,7.0,2.0,6.808461538461534,0.03633812865207457,0.0,0.0,0.0,0.9451062505842748,0.2025,0.0,0.0,0.0,1.0,0.18726762573041492,0.3322784015271393,0.0,0.0,16.0,3.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.833333333333333,800.0,108.51625,0.4826401224875999,0.1,0.39350649350649347,0.20084499999999766,90.0,90.0
5.0,0.0,160.0,0.0,99.265,90.94375,12.0,18.0,1.7557258064516006,0.156895958449569,0.0,0.0,0.0,1.3285809231746286,0.4675,1.0,15.659999999999998,36.036,1.0,0.2113791916899138,0.04374798740857088,0.14285714285714285,0.0,56.0,25.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.769444444444446,280.0,161.66625000000005,0.3416157932859819,0.14285714285714285,0.5803030303030302,0.8855099999999678,90.0,90.0
5.0,0.0,160.0,0.0,99.265,90.94375,12.0,18.0,1.7557258064516006,0.156895958449569,0.0,0.0,0.0,1.3285809231746286,0.4675,1.0,15.659999999999998,36.036,1.0,0.2113791916899138,0.04374798740857088,0.14285714285714285,0.0,56.0,25.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.133333333333333,960.0,139.64625000000004,0.5669666758128622,0.25,0.44545454545454544,0.6146200000000202,90.0,90.0
5.0,0.0,160.0,0.0,99.265,90.94375,12.0,18.0,1.7557258064516006,0.156895958449569,0.0,0.0,0.0,1.3285809231746286,0.4675,1.0,15.659999999999998,36.036,1.0,0.2113791916899138,0.04374798740857088,0.14285714285714285,0.0,56.0,25.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.91111111111111,1360.0,112.25750000000001,0.5762286235453243,0.058823529411764705,0.38977272727272727,0.5285100000000256,90.0,90.0
5.0,0.0,160.0,0.0,99.265,90.94375,12.0,18.0,1.7557258064516006,0.156895958449569,0.0,0.0,0.0,1.3285809231746286,0.4675,1.0,15.659999999999998,36.036,1.0,0.2113791916899138,0.04374798740857088,0.14285714285714285,0.0,56.0,25.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.083333333333332,919.9999999999999,132.49000000000004,0.6529940302025655,0.13043478260869565,0.3009090909090909,0.6117800000000215,90.0,90.0
